"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3951","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя создать пользователя с уже зарегистрированными данными","305","Ошибка при создании существующего пользователя","tests","2026-03-08","passed","2026-03-08","TestCreateUser","test_create_user","",""
"Проверка создания пользователя со всеми обязательными полями","374","Успешное создание пользователя","tests","2026-03-08","passed","2026-03-08","TestCreateUser","test_create_user","",""
"Проверка, что нельзя войти с неправильным email или паролем","302","Ошибка при входе с неверными данными","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3436","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3457","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя создать пользователя без email, password или name","303","Ошибка при отсутствии обязательного поля","tests","2026-03-08","passed","2026-03-08","TestCreateUser","test_create_user","",""
"Проверка, что нельзя войти с данными незарегистрированного пользователя","302","Ошибка при входе под несуществующим пользователем","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Проверка, что нельзя войти, если email или password пустые","293","Ошибка при входе с пустым полем","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Проверка, что нельзя создать заказа неавторизованному пользователю","320","Ошибка при создании заказа без авторизации","tests","2026-03-08","skipped","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя создать пользователя без email, password или name","290","Ошибка при отсутствии обязательного поля","tests","2026-03-08","passed","2026-03-08","TestCreateUser","test_create_user","",""
"Проверка, что зарегистрированный пользователь может войти в систему","369","Успешный вход под существующим пользователем","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Проверка, что нельзя войти с неправильным email или паролем","375","Ошибка при входе с неверными данными","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Проверка, что нельзя создать пользователя без email, password или name","291","Ошибка при отсутствии обязательного поля","tests","2026-03-08","passed","2026-03-08","TestCreateUser","test_create_user","",""
"Проверка создания заказа авторизованным пользователем с корректными ингредиентами","3382","Успешное создание заказа с авторизацией","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3379","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя войти, если email или password пустые","373","Ошибка при входе с пустым полем","tests","2026-03-08","passed","2026-03-08","TestLoginUser","test_login_user","",""
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3442","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя создать заказ с пустым списком ингредиентов","309","Ошибка при создании заказа без ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Параметризованная проверка создания заказа с различными комбинациями ингредиентов","3410","Успешное создание заказа с разными наборами ингредиентов","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что сервер возвращает 500 при передаче неверного ID ингредиента","296","Ошибка при создании заказа с невалидным хешем","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка, что сервер возвращает 500 при передаче неверного ID ингредиента","295","Ошибка при создании заказа с невалидным хешем","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
"Проверка создания заказа с булочкой и двойными порциями начинки и соуса","3352","Успешное создание заказа с двойными порциями","tests","2026-03-08","passed","2026-03-08","TestCreateOrder","test_create_order","",""
